learning_instance_id,EmployeeID,participant_completed,learning_title,rating,length,provider,completion_date,instructor_name,instructor_from
uvzirk,1728,True,Effective Workplace Communication,1,240,Communication Institute,02/06/2015,Dr. Michael Johnson,Udemy
bianan,1728,False,Strategic Problem-Solving Skills,1,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
pysorb,1728,True,Inventory Management Fundamentals,5,180,Learning Academy,09/01/2015,Prof. Emily Anderson,edX
llvfug,1728,False,Financial Literacy for Professionals,4,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
rcrdxq,1733,False,Effective Workplace Communication,5,240,Communication Institute,,Dr. Michael Johnson,Udemy
hwzhhu,1733,False,Customer Service Excellence,3,120,Service Institute,,Dr. John Smith,Coursera
dqeoop,1733,False,Financial Literacy for Professionals,4,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
zsauqx,1733,True,Leadership Essentials,2,150,Leadership Institute,07/23/2015,Dr. David Williams,Coursera
dtrtee,1733,True,Inventory Management Fundamentals,0,180,Learning Academy,05/14/2015,Prof. Emily Anderson,edX
ahrpvr,1734,True,Inventory Management Fundamentals,0,180,Learning Academy,07/08/2015,Prof. Emily Anderson,edX
bhppuy,1734,False,Strategic Problem-Solving Skills,5,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
hceprj,1734,True,Effective Workplace Communication,0,240,Communication Institute,04/27/2015,Dr. Michael Johnson,Udemy
dlebjo,1734,False,Financial Literacy for Professionals,3,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
pvsthn,1734,True,Customer Service Excellence,2,120,Service Institute,02/21/2015,Dr. John Smith,Coursera
wvuveu,1735,False,Customer Service Excellence,1,120,Service Institute,,Dr. John Smith,Coursera
dpyywa,1736,True,Effective Workplace Communication,5,240,Communication Institute,05/25/2015,Dr. Michael Johnson,Udemy
wivaqx,1736,True,Inventory Management Fundamentals,1,180,Learning Academy,01/13/2015,Prof. Emily Anderson,edX
caadex,1736,False,Leadership Essentials,4,150,Leadership Institute,,Dr. David Williams,Coursera
ginome,1736,False,Customer Service Excellence,5,120,Service Institute,,Dr. John Smith,Coursera
gxcftr,1736,False,Financial Literacy for Professionals,5,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
otskwr,1740,False,Strategic Problem-Solving Skills,4,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
boysjg,1743,False,Customer Service Excellence,1,120,Service Institute,,Dr. John Smith,Coursera
wraqxx,1743,True,Leadership Essentials,1,150,Leadership Institute,11/13/2015,Dr. David Williams,Coursera
kqbkjk,1743,True,Inventory Management Fundamentals,4,180,Learning Academy,11/24/2015,Prof. Emily Anderson,edX
zjvhuj,1745,False,Effective Workplace Communication,5,240,Communication Institute,,Dr. Michael Johnson,Udemy
tfaotp,1750,True,Financial Literacy for Professionals,1,90,Finance Masters,06/27/2015,Prof. Samantha Roberts,LinkedIn Learning
witzet,1750,False,Customer Service Excellence,1,120,Service Institute,,Dr. John Smith,Coursera
aigjxv,1754,False,Inventory Management Fundamentals,2,180,Learning Academy,,Prof. Emily Anderson,edX
lebtiz,1754,True,Effective Workplace Communication,3,240,Communication Institute,11/26/2015,Dr. Michael Johnson,Udemy
oikgzc,1754,False,Leadership Essentials,5,150,Leadership Institute,,Dr. David Williams,Coursera
judzpw,1754,False,Financial Literacy for Professionals,0,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
ryjzgt,1755,False,Customer Service Excellence,2,120,Service Institute,,Dr. John Smith,Coursera
llbomj,1757,False,Customer Service Excellence,3,120,Service Institute,,Dr. John Smith,Coursera
pjdaiw,1757,False,Effective Workplace Communication,5,240,Communication Institute,,Dr. Michael Johnson,Udemy
cxohjg,1757,False,Strategic Problem-Solving Skills,0,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
nnnwkh,1757,True,Leadership Essentials,2,150,Leadership Institute,11/25/2015,Dr. David Williams,Coursera
byfbpr,1757,True,Inventory Management Fundamentals,2,180,Learning Academy,11/04/2015,Prof. Emily Anderson,edX
anugfa,1758,False,Inventory Management Fundamentals,5,180,Learning Academy,,Prof. Emily Anderson,edX
fdifkk,1758,True,Leadership Essentials,0,150,Leadership Institute,08/14/2015,Dr. David Williams,Coursera
irghhp,1758,False,Financial Literacy for Professionals,4,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
dgampr,1758,False,Strategic Problem-Solving Skills,0,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
otagiw,1758,False,Customer Service Excellence,2,120,Service Institute,,Dr. John Smith,Coursera
hmiwfd,1762,True,Inventory Management Fundamentals,0,180,Learning Academy,03/11/2015,Prof. Emily Anderson,edX
anjmto,1763,False,Customer Service Excellence,0,120,Service Institute,,Dr. John Smith,Coursera
qhbnqn,1763,True,Financial Literacy for Professionals,2,90,Finance Masters,04/04/2015,Prof. Samantha Roberts,LinkedIn Learning
klgwmn,1763,False,Effective Workplace Communication,2,240,Communication Institute,,Dr. Michael Johnson,Udemy
uuhltd,1767,False,Leadership Essentials,1,150,Leadership Institute,,Dr. David Williams,Coursera
zroocl,1767,True,Effective Workplace Communication,0,240,Communication Institute,02/28/2015,Dr. Michael Johnson,Udemy
rrnbmj,1767,True,Customer Service Excellence,4,120,Service Institute,01/21/2015,Dr. John Smith,Coursera
rgbzxh,1767,True,Financial Literacy for Professionals,1,90,Finance Masters,12/26/2015,Prof. Samantha Roberts,LinkedIn Learning
gwybyh,1768,True,Customer Service Excellence,0,120,Service Institute,11/13/2015,Dr. John Smith,Coursera
sqwbqh,1768,True,Financial Literacy for Professionals,4,90,Finance Masters,04/27/2015,Prof. Samantha Roberts,LinkedIn Learning
tonvmc,1768,False,Inventory Management Fundamentals,3,180,Learning Academy,,Prof. Emily Anderson,edX
oijdks,1769,True,Leadership Essentials,3,150,Leadership Institute,04/13/2015,Dr. David Williams,Coursera
sgkapd,1769,True,Inventory Management Fundamentals,4,180,Learning Academy,07/10/2015,Prof. Emily Anderson,edX
exdgdx,1771,False,Inventory Management Fundamentals,2,180,Learning Academy,,Prof. Emily Anderson,edX
cpjpdh,1771,False,Leadership Essentials,3,150,Leadership Institute,,Dr. David Williams,Coursera
fvjwat,1771,False,Effective Workplace Communication,0,240,Communication Institute,,Dr. Michael Johnson,Udemy
gjtkhx,1771,False,Strategic Problem-Solving Skills,0,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
ybkzwc,1774,False,Leadership Essentials,0,150,Leadership Institute,,Dr. David Williams,Coursera
xftoib,1774,False,Customer Service Excellence,3,120,Service Institute,,Dr. John Smith,Coursera
krbnsg,1774,True,Effective Workplace Communication,3,240,Communication Institute,10/22/2015,Dr. Michael Johnson,Udemy
ebkxnu,1774,False,Strategic Problem-Solving Skills,0,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
iuzucq,1775,True,Customer Service Excellence,1,120,Service Institute,05/02/2015,Dr. John Smith,Coursera
ksuxft,1776,True,Effective Workplace Communication,5,240,Communication Institute,08/12/2015,Dr. Michael Johnson,Udemy
vlnuue,1776,True,Inventory Management Fundamentals,0,180,Learning Academy,12/27/2015,Prof. Emily Anderson,edX
rerxuy,1776,True,Leadership Essentials,3,150,Leadership Institute,10/20/2015,Dr. David Williams,Coursera
vjoayz,1777,False,Effective Workplace Communication,1,240,Communication Institute,,Dr. Michael Johnson,Udemy
jwjhgw,1777,False,Strategic Problem-Solving Skills,2,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
hmofkn,1777,False,Leadership Essentials,2,150,Leadership Institute,,Dr. David Williams,Coursera
avuaog,1777,True,Inventory Management Fundamentals,5,180,Learning Academy,03/27/2015,Prof. Emily Anderson,edX
ansapt,1777,False,Financial Literacy for Professionals,0,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
qhrbxl,1779,True,Financial Literacy for Professionals,3,90,Finance Masters,07/17/2015,Prof. Samantha Roberts,LinkedIn Learning
vdvowg,1779,False,Effective Workplace Communication,4,240,Communication Institute,,Dr. Michael Johnson,Udemy
mklhrf,1779,True,Inventory Management Fundamentals,4,180,Learning Academy,08/23/2015,Prof. Emily Anderson,edX
dyksgq,1786,False,Strategic Problem-Solving Skills,1,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
oabkkh,1786,True,Customer Service Excellence,3,120,Service Institute,07/18/2015,Dr. John Smith,Coursera
wrpzzn,1793,True,Inventory Management Fundamentals,4,180,Learning Academy,05/19/2015,Prof. Emily Anderson,edX
cocodw,1793,False,Effective Workplace Communication,4,240,Communication Institute,,Dr. Michael Johnson,Udemy
dxhztv,1793,False,Customer Service Excellence,2,120,Service Institute,,Dr. John Smith,Coursera
gmuzuc,1793,False,Strategic Problem-Solving Skills,2,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
eqszpu,1794,True,Financial Literacy for Professionals,0,90,Finance Masters,03/25/2015,Prof. Samantha Roberts,LinkedIn Learning
qpfanm,1794,False,Effective Workplace Communication,4,240,Communication Institute,,Dr. Michael Johnson,Udemy
scaevb,1794,False,Strategic Problem-Solving Skills,1,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
zlnuhv,1794,True,Customer Service Excellence,2,120,Service Institute,04/23/2015,Dr. John Smith,Coursera
jzixwl,1800,False,Leadership Essentials,2,150,Leadership Institute,,Dr. David Williams,Coursera
ozgzwe,1801,False,Effective Workplace Communication,1,240,Communication Institute,,Dr. Michael Johnson,Udemy
yympqm,1801,True,Leadership Essentials,0,150,Leadership Institute,02/28/2015,Dr. David Williams,Coursera
bjotiq,1802,True,Leadership Essentials,4,150,Leadership Institute,05/19/2015,Dr. David Williams,Coursera
fazwnp,1802,True,Inventory Management Fundamentals,2,180,Learning Academy,05/05/2015,Prof. Emily Anderson,edX
zmquda,1803,False,Effective Workplace Communication,1,240,Communication Institute,,Dr. Michael Johnson,Udemy
nvoius,1803,True,Inventory Management Fundamentals,4,180,Learning Academy,01/25/2015,Prof. Emily Anderson,edX
kydczf,1803,False,Strategic Problem-Solving Skills,5,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
roixdd,1803,True,Leadership Essentials,5,150,Leadership Institute,06/02/2015,Dr. David Williams,Coursera
hyvnzj,1804,True,Effective Workplace Communication,0,240,Communication Institute,10/18/2015,Dr. Michael Johnson,Udemy
rogrez,1804,True,Leadership Essentials,2,150,Leadership Institute,11/25/2015,Dr. David Williams,Coursera
axvyan,1804,False,Strategic Problem-Solving Skills,5,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
npmiiv,1806,True,Leadership Essentials,2,150,Leadership Institute,12/27/2015,Dr. David Williams,Coursera
cqrhdz,1806,False,Effective Workplace Communication,3,240,Communication Institute,,Dr. Michael Johnson,Udemy
tplscp,1806,False,Customer Service Excellence,4,120,Service Institute,,Dr. John Smith,Coursera
ecyrhb,1806,True,Strategic Problem-Solving Skills,4,300,Problem-Solving Academy,06/25/2015,Prof. Jennifer Davis,Codecademy
atvufy,1806,True,Financial Literacy for Professionals,4,90,Finance Masters,02/06/2015,Prof. Samantha Roberts,LinkedIn Learning
ngxjmj,1808,True,Leadership Essentials,1,150,Leadership Institute,11/18/2015,Dr. David Williams,Coursera
jhzzqx,1808,False,Inventory Management Fundamentals,1,180,Learning Academy,,Prof. Emily Anderson,edX
drkgth,1808,False,Strategic Problem-Solving Skills,1,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
yatdqw,1810,False,Inventory Management Fundamentals,2,180,Learning Academy,,Prof. Emily Anderson,edX
vlumpb,1810,True,Customer Service Excellence,4,120,Service Institute,10/27/2015,Dr. John Smith,Coursera
izrcbn,1810,True,Effective Workplace Communication,4,240,Communication Institute,07/12/2015,Dr. Michael Johnson,Udemy
dacvnq,1811,True,Leadership Essentials,4,150,Leadership Institute,12/30/2015,Dr. David Williams,Coursera
nojegf,1811,True,Strategic Problem-Solving Skills,4,300,Problem-Solving Academy,09/14/2015,Prof. Jennifer Davis,Codecademy
nqzkrw,1812,False,Financial Literacy for Professionals,0,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
givsmh,1816,False,Customer Service Excellence,5,120,Service Institute,,Dr. John Smith,Coursera
ploegl,1816,True,Financial Literacy for Professionals,3,90,Finance Masters,01/07/2015,Prof. Samantha Roberts,LinkedIn Learning
kgtyhv,1817,True,Leadership Essentials,5,150,Leadership Institute,03/26/2015,Dr. David Williams,Coursera
strqty,1817,False,Effective Workplace Communication,0,240,Communication Institute,,Dr. Michael Johnson,Udemy
ctwcvn,1817,True,Inventory Management Fundamentals,3,180,Learning Academy,03/19/2015,Prof. Emily Anderson,edX
jsajtw,1820,False,Leadership Essentials,1,150,Leadership Institute,,Dr. David Williams,Coursera
ptmftd,1820,True,Inventory Management Fundamentals,4,180,Learning Academy,02/24/2015,Prof. Emily Anderson,edX
ymhrws,1820,False,Financial Literacy for Professionals,4,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
mekbbu,1820,True,Effective Workplace Communication,1,240,Communication Institute,03/26/2015,Dr. Michael Johnson,Udemy
kcogbj,1820,False,Strategic Problem-Solving Skills,5,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
wjqkzw,1825,True,Customer Service Excellence,5,120,Service Institute,04/12/2015,Dr. John Smith,Coursera
mjfpxc,1825,False,Financial Literacy for Professionals,0,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
ilzity,1825,True,Strategic Problem-Solving Skills,3,300,Problem-Solving Academy,09/26/2015,Prof. Jennifer Davis,Codecademy
gombnw,1825,False,Inventory Management Fundamentals,5,180,Learning Academy,,Prof. Emily Anderson,edX
gqccjh,1827,False,Leadership Essentials,1,150,Leadership Institute,,Dr. David Williams,Coursera
ghlbff,1829,False,Customer Service Excellence,4,120,Service Institute,,Dr. John Smith,Coursera
recqtg,1829,True,Strategic Problem-Solving Skills,4,300,Problem-Solving Academy,11/29/2015,Prof. Jennifer Davis,Codecademy
diiwuh,1830,True,Leadership Essentials,1,150,Leadership Institute,03/03/2015,Dr. David Williams,Coursera
glemtr,1831,False,Leadership Essentials,3,150,Leadership Institute,,Dr. David Williams,Coursera
rxlqlz,1831,False,Customer Service Excellence,4,120,Service Institute,,Dr. John Smith,Coursera
gcendc,1831,True,Inventory Management Fundamentals,4,180,Learning Academy,03/03/2015,Prof. Emily Anderson,edX
uaehfc,1834,True,Leadership Essentials,1,150,Leadership Institute,01/03/2015,Dr. David Williams,Coursera
fnpimn,1834,False,Inventory Management Fundamentals,1,180,Learning Academy,,Prof. Emily Anderson,edX
dbcjdf,1834,True,Customer Service Excellence,3,120,Service Institute,12/12/2015,Dr. John Smith,Coursera
szpcgg,1835,True,Customer Service Excellence,4,120,Service Institute,05/01/2015,Dr. John Smith,Coursera
xdboyr,1835,False,Effective Workplace Communication,3,240,Communication Institute,,Dr. Michael Johnson,Udemy
znavph,1835,True,Financial Literacy for Professionals,2,90,Finance Masters,12/14/2015,Prof. Samantha Roberts,LinkedIn Learning
cowjwj,1835,False,Strategic Problem-Solving Skills,2,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
olwimo,1836,False,Strategic Problem-Solving Skills,0,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
rlesnx,1839,False,Effective Workplace Communication,2,240,Communication Institute,,Dr. Michael Johnson,Udemy
ryyhzu,1841,True,Inventory Management Fundamentals,0,180,Learning Academy,08/14/2015,Prof. Emily Anderson,edX
wrxptt,1841,True,Financial Literacy for Professionals,5,90,Finance Masters,12/24/2015,Prof. Samantha Roberts,LinkedIn Learning
obuiya,1841,False,Customer Service Excellence,0,120,Service Institute,,Dr. John Smith,Coursera
fhfwlj,1844,True,Customer Service Excellence,5,120,Service Institute,06/26/2015,Dr. John Smith,Coursera
bswrpe,1844,False,Strategic Problem-Solving Skills,0,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
ojajox,1844,False,Inventory Management Fundamentals,3,180,Learning Academy,,Prof. Emily Anderson,edX
pouzhi,1844,False,Leadership Essentials,0,150,Leadership Institute,,Dr. David Williams,Coursera
gftcsn,1844,False,Financial Literacy for Professionals,3,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
abzxfg,1845,False,Strategic Problem-Solving Skills,1,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
xlzuof,1846,True,Effective Workplace Communication,2,240,Communication Institute,02/14/2015,Dr. Michael Johnson,Udemy
wzlckn,1848,True,Inventory Management Fundamentals,1,180,Learning Academy,08/31/2015,Prof. Emily Anderson,edX
xzcmxa,1848,False,Effective Workplace Communication,0,240,Communication Institute,,Dr. Michael Johnson,Udemy
nqmnua,1850,True,Effective Workplace Communication,4,240,Communication Institute,11/22/2015,Dr. Michael Johnson,Udemy
ncglnr,1850,False,Strategic Problem-Solving Skills,3,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
lbuwyj,1850,False,Inventory Management Fundamentals,5,180,Learning Academy,,Prof. Emily Anderson,edX
fkpwev,1851,True,Strategic Problem-Solving Skills,1,300,Problem-Solving Academy,02/13/2015,Prof. Jennifer Davis,Codecademy
uxigio,1851,True,Financial Literacy for Professionals,5,90,Finance Masters,11/21/2015,Prof. Samantha Roberts,LinkedIn Learning
wnuzid,1851,True,Inventory Management Fundamentals,0,180,Learning Academy,09/30/2015,Prof. Emily Anderson,edX
jcftyr,1851,False,Effective Workplace Communication,1,240,Communication Institute,,Dr. Michael Johnson,Udemy
gfbflg,1852,False,Strategic Problem-Solving Skills,5,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
pmhxlh,1852,False,Inventory Management Fundamentals,4,180,Learning Academy,,Prof. Emily Anderson,edX
qxoawl,1852,True,Financial Literacy for Professionals,3,90,Finance Masters,02/21/2015,Prof. Samantha Roberts,LinkedIn Learning
jmmuru,1853,True,Strategic Problem-Solving Skills,4,300,Problem-Solving Academy,03/20/2015,Prof. Jennifer Davis,Codecademy
ymwxda,1855,False,Effective Workplace Communication,3,240,Communication Institute,,Dr. Michael Johnson,Udemy
cetqwq,1858,True,Leadership Essentials,0,150,Leadership Institute,10/17/2015,Dr. David Williams,Coursera
jwekxv,1858,False,Customer Service Excellence,4,120,Service Institute,,Dr. John Smith,Coursera
owokfy,1860,True,Leadership Essentials,0,150,Leadership Institute,09/16/2015,Dr. David Williams,Coursera
velzwu,1860,True,Financial Literacy for Professionals,2,90,Finance Masters,04/26/2015,Prof. Samantha Roberts,LinkedIn Learning
gnykvh,1862,False,Leadership Essentials,1,150,Leadership Institute,,Dr. David Williams,Coursera
uooeaw,1862,True,Financial Literacy for Professionals,0,90,Finance Masters,03/16/2015,Prof. Samantha Roberts,LinkedIn Learning
lkgcrk,1862,False,Customer Service Excellence,0,120,Service Institute,,Dr. John Smith,Coursera
wsptnr,1864,True,Customer Service Excellence,4,120,Service Institute,04/12/2015,Dr. John Smith,Coursera
bmutga,1864,False,Inventory Management Fundamentals,2,180,Learning Academy,,Prof. Emily Anderson,edX
jxdvwk,1864,True,Strategic Problem-Solving Skills,0,300,Problem-Solving Academy,08/08/2015,Prof. Jennifer Davis,Codecademy
wzgtao,1864,True,Financial Literacy for Professionals,5,90,Finance Masters,11/04/2015,Prof. Samantha Roberts,LinkedIn Learning
cvpkcv,1864,False,Leadership Essentials,2,150,Leadership Institute,,Dr. David Williams,Coursera
xwzwxw,1865,True,Financial Literacy for Professionals,1,90,Finance Masters,04/07/2015,Prof. Samantha Roberts,LinkedIn Learning
rgroyv,1865,False,Leadership Essentials,4,150,Leadership Institute,,Dr. David Williams,Coursera
qpebtj,1865,False,Inventory Management Fundamentals,4,180,Learning Academy,,Prof. Emily Anderson,edX
ivszkt,1865,True,Effective Workplace Communication,4,240,Communication Institute,10/15/2015,Dr. Michael Johnson,Udemy
ykixyu,1866,True,Customer Service Excellence,4,120,Service Institute,05/17/2015,Dr. John Smith,Coursera
uxcusm,1868,True,Leadership Essentials,3,150,Leadership Institute,01/29/2015,Dr. David Williams,Coursera
qcepyk,1868,False,Effective Workplace Communication,4,240,Communication Institute,,Dr. Michael Johnson,Udemy
smkqvg,1868,False,Financial Literacy for Professionals,1,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
jdzskr,1868,True,Customer Service Excellence,2,120,Service Institute,08/20/2015,Dr. John Smith,Coursera
ugcsqe,1869,False,Effective Workplace Communication,2,240,Communication Institute,,Dr. Michael Johnson,Udemy
